"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"17113","283","8600000US00601","ZCTA5 00601"
"37751","149","8600000US00602","ZCTA5 00602"
"47081","828","8600000US00603","ZCTA5 00603"
"6392","365","8600000US00606","ZCTA5 00606"
"26686","205","8600000US00610","ZCTA5 00610"
"59369","1349","8600000US00612","ZCTA5 00612"
"10022","1075","8600000US00616","ZCTA5 00616"
"23750","326","8600000US00617","ZCTA5 00617"
"6741","1266","8600000US00622","ZCTA5 00622"
"41746","1266","8600000US00623","ZCTA5 00623"
"21936","407","8600000US00624","ZCTA5 00624"
"31598","*****","8600000US00627","ZCTA5 00627"
"1499","306","8600000US00631","ZCTA5 00631"
"22383","198","8600000US00637","ZCTA5 00637"
"16412","310","8600000US00638","ZCTA5 00638"
"26712","468","8600000US00641","ZCTA5 00641"
"37095","200","8600000US00646","ZCTA5 00646"
"5809","639","8600000US00647","ZCTA5 00647"
"14534","602","8600000US00650","ZCTA5 00650"
"3565","596","8600000US00652","ZCTA5 00652"
"10484","639","8600000US00653","ZCTA5 00653"
"18485","45","8600000US00656","ZCTA5 00656"
"39950","*****","8600000US00659","ZCTA5 00659"
"15943","*****","8600000US00660","ZCTA5 00660"
"39700","568","8600000US00662","ZCTA5 00662"
"14693","168","8600000US00664","ZCTA5 00664"
"23186","144","8600000US00667","ZCTA5 00667"
"24803","272","8600000US00669","ZCTA5 00669"
"8364","122","8600000US00670","ZCTA5 00670"
"38971","286","8600000US00674","ZCTA5 00674"
"36299","131","8600000US00676","ZCTA5 00676"
"14093","62","8600000US00677","ZCTA5 00677"
"25624","589","8600000US00678","ZCTA5 00678"
"45190","1534","8600000US00680","ZCTA5 00680"
"31735","1412","8600000US00682","ZCTA5 00682"
"29487","527","8600000US00683","ZCTA5 00683"
"37058","398","8600000US00685","ZCTA5 00685"
"30962","*****","8600000US00687","ZCTA5 00687"
"12139","872","8600000US00688","ZCTA5 00688"
"5722","828","8600000US00690","ZCTA5 00690"
"35135","639","8600000US00692","ZCTA5 00692"
"53360","628","8600000US00693","ZCTA5 00693"
"64","72","8600000US00694","ZCTA5 00694"
"35317","134","8600000US00698","ZCTA5 00698"
"26097","524","8600000US00703","ZCTA5 00703"
"8108","1164","8600000US00704","ZCTA5 00704"
"22662","281","8600000US00705","ZCTA5 00705"
"10721","87","8600000US00707","ZCTA5 00707"
"17739","107","8600000US00714","ZCTA5 00714"
"2818","596","8600000US00715","ZCTA5 00715"
"27513","1506","8600000US00716","ZCTA5 00716"
"16086","1068","8600000US00717","ZCTA5 00717"
"25430","634","8600000US00718","ZCTA5 00718"
"28556","268","8600000US00719","ZCTA5 00719"
"20758","166","8600000US00720","ZCTA5 00720"
"16984","87","8600000US00723","ZCTA5 00723"
"80537","2132","8600000US00725","ZCTA5 00725"
"52743","1988","8600000US00727","ZCTA5 00727"
"39083","1730","8600000US00728","ZCTA5 00728"
"51015","637","8600000US00729","ZCTA5 00729"
"30175","1406","8600000US00730","ZCTA5 00730"
"12657","1161","8600000US00731","ZCTA5 00731"
"12159","634","8600000US00735","ZCTA5 00735"
"46085","824","8600000US00736","ZCTA5 00736"
"29196","404","8600000US00738","ZCTA5 00738"
"36734","550","8600000US00739","ZCTA5 00739"
"1915","404","8600000US00740","ZCTA5 00740"
"4074","773","8600000US00741","ZCTA5 00741"
"50435","318","8600000US00745","ZCTA5 00745"
"20677","1110","8600000US00751","ZCTA5 00751"
"36893","244","8600000US00754","ZCTA5 00754"
"21757","*****","8600000US00757","ZCTA5 00757"
"8523","99","8600000US00765","ZCTA5 00765"
"22687","160","8600000US00766","ZCTA5 00766"
"33499","*****","8600000US00767","ZCTA5 00767"
"38812","60","8600000US00769","ZCTA5 00769"
"36906","328","8600000US00771","ZCTA5 00771"
"19529","547","8600000US00772","ZCTA5 00772"
"18224","*****","8600000US00773","ZCTA5 00773"
"1299","237","8600000US00775","ZCTA5 00775"
"39609","489","8600000US00777","ZCTA5 00777"
"46707","378","8600000US00778","ZCTA5 00778"
"11016","1231","8600000US00780","ZCTA5 00780"
"17670","477","8600000US00782","ZCTA5 00782"
"32769","314","8600000US00783","ZCTA5 00783"
"39823","328","8600000US00784","ZCTA5 00784"
"360","279","8600000US00786","ZCTA5 00786"
"48433","773","8600000US00791","ZCTA5 00791"
"28434","66","8600000US00794","ZCTA5 00794"
"43873","512","8600000US00795","ZCTA5 00795"
"6617","792","8600000US00901","ZCTA5 00901"
"191","99","8600000US00906","ZCTA5 00906"
"15151","1008","8600000US00907","ZCTA5 00907"
"4698","619","8600000US00909","ZCTA5 00909"
"7089","799","8600000US00911","ZCTA5 00911"
"5660","696","8600000US00912","ZCTA5 00912"
"7890","770","8600000US00913","ZCTA5 00913"
"24888","1343","8600000US00915","ZCTA5 00915"
"18196","1472","8600000US00917","ZCTA5 00917"
"15759","1118","8600000US00918","ZCTA5 00918"
"16281","996","8600000US00920","ZCTA5 00920"
"31801","1646","8600000US00921","ZCTA5 00921"
"23851","1377","8600000US00923","ZCTA5 00923"
"48141","2160","8600000US00924","ZCTA5 00924"
"6640","939","8600000US00925","ZCTA5 00925"
"93330","2988","8600000US00926","ZCTA5 00926"
"13626","1090","8600000US00927","ZCTA5 00927"
"109","123","8600000US00934","ZCTA5 00934"
"773","545","8600000US00936","ZCTA5 00936"
"72943","935","8600000US00949","ZCTA5 00949"
"0","14","8600000US00950","ZCTA5 00950"
"0","14","8600000US00951","ZCTA5 00951"
"7598","907","8600000US00952","ZCTA5 00952"
"71174","804","8600000US00953","ZCTA5 00953"
"63264","2048","8600000US00956","ZCTA5 00956"
"38198","1798","8600000US00957","ZCTA5 00957"
"46441","2048","8600000US00959","ZCTA5 00959"
"2205","275","8600000US00960","ZCTA5 00960"
"29743","1392","8600000US00961","ZCTA5 00961"
"19082","590","8600000US00962","ZCTA5 00962"
"6709","754","8600000US00965","ZCTA5 00965"
"15254","1308","8600000US00966","ZCTA5 00966"
"3448","428","8600000US00968","ZCTA5 00968"
"41941","1859","8600000US00969","ZCTA5 00969"
"25925","1685","8600000US00971","ZCTA5 00971"
"58640","1317","8600000US00976","ZCTA5 00976"
"16130","1266","8600000US00979","ZCTA5 00979"
"14346","893","8600000US00982","ZCTA5 00982"
"33947","1735","8600000US00983","ZCTA5 00983"
"31682","1316","8600000US00985","ZCTA5 00985"
"54241","2284","8600000US00987","ZCTA5 00987"
"17312","735","8600000US01001","ZCTA5 01001"
"30014","485","8600000US01002","ZCTA5 01002"
"11357","477","8600000US01003","ZCTA5 01003"
"5128","404","8600000US01005","ZCTA5 01005"
"15005","20","8600000US01007","ZCTA5 01007"
"1140","178","8600000US01008","ZCTA5 01008"
"261","198","8600000US01009","ZCTA5 01009"
"3658","17","8600000US01010","ZCTA5 01010"
"1430","170","8600000US01011","ZCTA5 01011"
"585","124","8600000US01012","ZCTA5 01012"
"22733","1045","8600000US01013","ZCTA5 01013"
"30108","1098","8600000US01020","ZCTA5 01020"
"2586","413","8600000US01022","ZCTA5 01022"
"933","116","8600000US01026","ZCTA5 01026"
"17818","99","8600000US01027","ZCTA5 01027"
"16242","38","8600000US01028","ZCTA5 01028"
"538","164","8600000US01029","ZCTA5 01029"
"11384","733","8600000US01030","ZCTA5 01030"
"1135","198","8600000US01031","ZCTA5 01031"
"495","114","8600000US01032","ZCTA5 01032"
"6322","16","8600000US01033","ZCTA5 01033"
"2186","205","8600000US01034","ZCTA5 01034"
"5319","27","8600000US01035","ZCTA5 01035"
"5178","39","8600000US01036","ZCTA5 01036"
"747","197","8600000US01037","ZCTA5 01037"
"2734","160","8600000US01038","ZCTA5 01038"
"1207","167","8600000US01039","ZCTA5 01039"
"40241","59","8600000US01040","ZCTA5 01040"
"2438","214","8600000US01050","ZCTA5 01050"
"1593","239","8600000US01053","ZCTA5 01053"
"2001","159","8600000US01054","ZCTA5 01054"
"21291","23","8600000US01056","ZCTA5 01056"
"8824","99","8600000US01057","ZCTA5 01057"
"15948","532","8600000US01060","ZCTA5 01060"
"10364","518","8600000US01062","ZCTA5 01062"
"611","176","8600000US01063","ZCTA5 01063"
"31","48","8600000US01066","ZCTA5 01066"
"1833","102","8600000US01068","ZCTA5 01068"
"8556","510","8600000US01069","ZCTA5 01069"
"648","94","8600000US01070","ZCTA5 01070"
"1318","198","8600000US01071","ZCTA5 01071"
"1478","134","8600000US01072","ZCTA5 01072"
"6144","33","8600000US01073","ZCTA5 01073"
"411","405","8600000US01074","ZCTA5 01074"
"17703","38","8600000US01075","ZCTA5 01075"
"9720","25","8600000US01077","ZCTA5 01077"
"781","317","8600000US01079","ZCTA5 01079"
"2709","399","8600000US01080","ZCTA5 01080"
"1883","226","8600000US01081","ZCTA5 01081"
"10580","192","8600000US01082","ZCTA5 01082"
"3094","464","8600000US01083","ZCTA5 01083"
"168","45","8600000US01084","ZCTA5 01084"
"41780","185","8600000US01085","ZCTA5 01085"
