"B19083_001E","B19083_001M","GEO_ID","NAME"
"Estimate!!Gini Index","Margin of Error!!Gini Index","id","Geographic Area Name"
"0.4739","0.0338","8600000US00601","ZCTA5 00601"
"0.5019","0.0202","8600000US00602","ZCTA5 00602"
"0.5804","0.0319","8600000US00603","ZCTA5 00603"
"0.4576","0.0386","8600000US00606","ZCTA5 00606"
"0.4759","0.0307","8600000US00610","ZCTA5 00610"
"0.5318","0.0233","8600000US00612","ZCTA5 00612"
"0.4997","0.0534","8600000US00616","ZCTA5 00616"
"0.4960","0.0268","8600000US00617","ZCTA5 00617"
"0.4737","0.0529","8600000US00622","ZCTA5 00622"
"0.5250","0.0325","8600000US00623","ZCTA5 00623"
"0.5017","0.0403","8600000US00624","ZCTA5 00624"
"0.5093","0.0276","8600000US00627","ZCTA5 00627"
"0.5261","0.0616","8600000US00631","ZCTA5 00631"
"0.4811","0.0313","8600000US00637","ZCTA5 00637"
"0.5094","0.0663","8600000US00638","ZCTA5 00638"
"0.5263","0.0245","8600000US00641","ZCTA5 00641"
"0.5535","0.0320","8600000US00646","ZCTA5 00646"
"0.4833","0.0445","8600000US00647","ZCTA5 00647"
"0.4586","0.0338","8600000US00650","ZCTA5 00650"
"0.3939","0.0370","8600000US00652","ZCTA5 00652"
"0.5092","0.0255","8600000US00653","ZCTA5 00653"
"0.4444","0.0240","8600000US00656","ZCTA5 00656"
"0.5059","0.0237","8600000US00659","ZCTA5 00659"
"0.4895","0.0398","8600000US00660","ZCTA5 00660"
"0.5090","0.0238","8600000US00662","ZCTA5 00662"
"0.4929","0.0355","8600000US00664","ZCTA5 00664"
"0.5212","0.0315","8600000US00667","ZCTA5 00667"
"0.4974","0.0259","8600000US00669","ZCTA5 00669"
"0.4949","0.0417","8600000US00670","ZCTA5 00670"
"0.5311","0.0214","8600000US00674","ZCTA5 00674"
"0.5812","0.0483","8600000US00676","ZCTA5 00676"
"0.4998","0.0329","8600000US00677","ZCTA5 00677"
"0.4683","0.0244","8600000US00678","ZCTA5 00678"
"0.5862","0.0195","8600000US00680","ZCTA5 00680"
"0.6526","0.0278","8600000US00682","ZCTA5 00682"
"0.5391","0.0315","8600000US00683","ZCTA5 00683"
"0.5413","0.0377","8600000US00685","ZCTA5 00685"
"0.4513","0.0280","8600000US00687","ZCTA5 00687"
"0.4935","0.0351","8600000US00688","ZCTA5 00688"
"0.4835","0.0410","8600000US00690","ZCTA5 00690"
"0.5550","0.0349","8600000US00692","ZCTA5 00692"
"0.4939","0.0173","8600000US00693","ZCTA5 00693"
"-","**","8600000US00694","ZCTA5 00694"
"0.5079","0.0172","8600000US00698","ZCTA5 00698"
"0.5200","0.0435","8600000US00703","ZCTA5 00703"
"0.4738","0.0475","8600000US00704","ZCTA5 00704"
"0.4992","0.0404","8600000US00705","ZCTA5 00705"
"0.4230","0.0290","8600000US00707","ZCTA5 00707"
"0.4910","0.0303","8600000US00714","ZCTA5 00714"
"0.5368","0.1203","8600000US00715","ZCTA5 00715"
"0.6353","0.0418","8600000US00716","ZCTA5 00716"
"0.6038","0.0254","8600000US00717","ZCTA5 00717"
"0.4487","0.0301","8600000US00718","ZCTA5 00718"
"0.5321","0.0557","8600000US00719","ZCTA5 00719"
"0.5317","0.0416","8600000US00720","ZCTA5 00720"
"0.5025","0.0375","8600000US00723","ZCTA5 00723"
"0.5390","0.0207","8600000US00725","ZCTA5 00725"
"0.5048","0.0340","8600000US00727","ZCTA5 00727"
"0.5019","0.0269","8600000US00728","ZCTA5 00728"
"0.5335","0.0272","8600000US00729","ZCTA5 00729"
"0.5635","0.0317","8600000US00730","ZCTA5 00730"
"0.5412","0.0340","8600000US00731","ZCTA5 00731"
"0.5218","0.0636","8600000US00735","ZCTA5 00735"
"0.5026","0.0160","8600000US00736","ZCTA5 00736"
"0.5264","0.0483","8600000US00738","ZCTA5 00738"
"0.4988","0.0206","8600000US00739","ZCTA5 00739"
