"B19013_001E","B19013_001M","GEO_ID","NAME"
"Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","id","Geographic Area Name"
"14398","1300","8600000US00601","ZCTA5 00601"
"16771","1141","8600000US00602","ZCTA5 00602"
"15786","1024","8600000US00603","ZCTA5 00603"
"14980","3558","8600000US00606","ZCTA5 00606"
"20167","1612","8600000US00610","ZCTA5 00610"
"19402","1114","8600000US00612","ZCTA5 00612"
"18903","2523","8600000US00616","ZCTA5 00616"
"17702","1846","8600000US00617","ZCTA5 00617"
"15640","2542","8600000US00622","ZCTA5 00622"
"17699","1371","8600000US00623","ZCTA5 00623"
"17161","1160","8600000US00624","ZCTA5 00624"
"18571","1593","8600000US00627","ZCTA5 00627"
"11476","2513","8600000US00631","ZCTA5 00631"
"18430","2452","8600000US00637","ZCTA5 00637"
"17634","1921","8600000US00638","ZCTA5 00638"
"15402","1449","8600000US00641","ZCTA5 00641"
"29757","3753","8600000US00646","ZCTA5 00646"
"13996","2170","8600000US00647","ZCTA5 00647"
"19368","2349","8600000US00650","ZCTA5 00650"
"22771","2315","8600000US00652","ZCTA5 00652"
"10977","1761","8600000US00653","ZCTA5 00653"
"17865","2082","8600000US00656","ZCTA5 00656"
"18998","1487","8600000US00659","ZCTA5 00659"
"19848","1567","8600000US00660","ZCTA5 00660"
"17216","1409","8600000US00662","ZCTA5 00662"
"15740","3173","8600000US00664","ZCTA5 00664"
"14472","951","8600000US00667","ZCTA5 00667"
"17199","1420","8600000US00669","ZCTA5 00669"
"14712","3386","8600000US00670","ZCTA5 00670"
"18790","1378","8600000US00674","ZCTA5 00674"
"16014","1263","8600000US00676","ZCTA5 00676"
"20027","4669","8600000US00677","ZCTA5 00677"
"17204","2135","8600000US00678","ZCTA5 00678"
"14825","1182","8600000US00680","ZCTA5 00680"
"14841","1946","8600000US00682","ZCTA5 00682"
"16441","1282","8600000US00683","ZCTA5 00683"
"15861","1411","8600000US00685","ZCTA5 00685"
"21191","1404","8600000US00687","ZCTA5 00687"
"17305","2107","8600000US00688","ZCTA5 00688"
"17246","5103","8600000US00690","ZCTA5 00690"
"21194","1418","8600000US00692","ZCTA5 00692"
"19970","1288","8600000US00693","ZCTA5 00693"
"-","**","8600000US00694","ZCTA5 00694"
"14811","1192","8600000US00698","ZCTA5 00698"
"20188","2010","8600000US00703","ZCTA5 00703"
"16734","2429","8600000US00704","ZCTA5 00704"
"20271","1609","8600000US00705","ZCTA5 00705"
"20419","2975","8600000US00707","ZCTA5 00707"
"16263","2560","8600000US00714","ZCTA5 00714"
"13288","4443","8600000US00715","ZCTA5 00715"
"17616","1419","8600000US00716","ZCTA5 00716"
"11838","900","8600000US00717","ZCTA5 00717"
"19220","2576","8600000US00718","ZCTA5 00718"
"18804","2544","8600000US00719","ZCTA5 00719"
"16072","1986","8600000US00720","ZCTA5 00720"
"17197","1628","8600000US00723","ZCTA5 00723"
"22847","1334","8600000US00725","ZCTA5 00725"
"30570","2244","8600000US00727","ZCTA5 00727"
"20131","1163","8600000US00728","ZCTA5 00728"
"22075","1297","8600000US00729","ZCTA5 00729"
"16036","1281","8600000US00730","ZCTA5 00730"
"15781","3114","8600000US00731","ZCTA5 00731"
"19097","2048","8600000US00735","ZCTA5 00735"
"22904","1242","8600000US00736","ZCTA5 00736"
"20808","2013","8600000US00738","ZCTA5 00738"
"20597","1713","8600000US00739","ZCTA5 00739"
"9611","5215","8600000US00740","ZCTA5 00740"
"21506","7737","8600000US00741","ZCTA5 00741"
"23975","1284","8600000US00745","ZCTA5 00745"
"17963","2113","8600000US00751","ZCTA5 00751"
"19408","1771","8600000US00754","ZCTA5 00754"
"20000","1893","8600000US00757","ZCTA5 00757"
"14049","1486","8600000US00765","ZCTA5 00765"
"19170","1662","8600000US00766","ZCTA5 00766"
"16828","1805","8600000US00767","ZCTA5 00767"
"18326","2285","8600000US00769","ZCTA5 00769"
"22097","2793","8600000US00771","ZCTA5 00771"
"14963","1797","8600000US00772","ZCTA5 00772"
"21805","2011","8600000US00773","ZCTA5 00773"
"24886","6811","8600000US00775","ZCTA5 00775"
"20718","1892","8600000US00777","ZCTA5 00777"
"35558","3261","8600000US00778","ZCTA5 00778"
"21724","2710","8600000US00780","ZCTA5 00780"
"14152","1504","8600000US00782","ZCTA5 00782"
"16815","1722","8600000US00783","ZCTA5 00783"
"17317","1558","8600000US00784","ZCTA5 00784"
"38798","26242","8600000US00786","ZCTA5 00786"
"21833","1622","8600000US00791","ZCTA5 00791"
"19024","2195","8600000US00794","ZCTA5 00794"
"20765","1604","8600000US00795","ZCTA5 00795"
"26204","6193","8600000US00901","ZCTA5 00901"
"109063","81931","8600000US00906","ZCTA5 00906"
"38798","4280","8600000US00907","ZCTA5 00907"
"21238","4443","8600000US00909","ZCTA5 00909"
"32290","4422","8600000US00911","ZCTA5 00911"
"27623","4087","8600000US00912","ZCTA5 00912"
"7428","2114","8600000US00913","ZCTA5 00913"
"13125","1143","8600000US00915","ZCTA5 00915"
"15904","1411","8600000US00917","ZCTA5 00917"
"29521","4609","8600000US00918","ZCTA5 00918"
"26153","1460","8600000US00920","ZCTA5 00920"
"19158","1439","8600000US00921","ZCTA5 00921"
"16052","1696","8600000US00923","ZCTA5 00923"
"19023","1801","8600000US00924","ZCTA5 00924"
"10928","2832","8600000US00925","ZCTA5 00925"
"35681","1978","8600000US00926","ZCTA5 00926"
"36994","3805","8600000US00927","ZCTA5 00927"
"-","**","8600000US00934","ZCTA5 00934"
"-","**","8600000US00936","ZCTA5 00936"
"27575","1361","8600000US00949","ZCTA5 00949"
"-","**","8600000US00950","ZCTA5 00950"
"-","**","8600000US00951","ZCTA5 00951"
"16196","1435","8600000US00952","ZCTA5 00952"
"27688","1577","8600000US00953","ZCTA5 00953"
"23859","1211","8600000US00956","ZCTA5 00956"
"27115","1864","8600000US00957","ZCTA5 00957"
"30307","2349","8600000US00959","ZCTA5 00959"
"-","**","8600000US00960","ZCTA5 00960"
"29811","2343","8600000US00961","ZCTA5 00961"
"16053","1620","8600000US00962","ZCTA5 00962"
"14279","1504","8600000US00965","ZCTA5 00965"
"48174","5080","8600000US00966","ZCTA5 00966"
"49500","11684","8600000US00968","ZCTA5 00968"
"47489","2916","8600000US00969","ZCTA5 00969"
"24972","4360","8600000US00971","ZCTA5 00971"
"31729","1939","8600000US00976","ZCTA5 00976"
"33087","3808","8600000US00979","ZCTA5 00979"
"25360","2414","8600000US00982","ZCTA5 00982"
"26385","2657","8600000US00983","ZCTA5 00983"
"27560","1749","8600000US00985","ZCTA5 00985"
"32596","2997","8600000US00987","ZCTA5 00987"
