"GEO_ID","P002001","P002002","P002003","P002004","P002005","P002006","NAME"
"id","Total","Total!!Urban","Total!!Urban!!Inside urbanized areas","Total!!Urban!!Inside urban clusters","Total!!Rural","Total!!Not defined for this file","Geographic Area Name"
"8600000US00601","18570","10679","0","10679","7891","0","ZCTA5 00601"
"8600000US00602","41520","41520","41520","0","0","0","ZCTA5 00602"
"8600000US00603","54689","54646","54646","0","43","0","ZCTA5 00603"
"8600000US00606","6615","2697","0","2697","3918","0","ZCTA5 00606"
"8600000US00610","29016","25640","25640","0","3376","0","ZCTA5 00610"
"8600000US00612","67010","62391","62391","0","4619","0","ZCTA5 00612"
"8600000US00616","11017","10438","10438","0","579","0","ZCTA5 00616"
"8600000US00617","24597","24161","24161","0","436","0","ZCTA5 00617"
"8600000US00622","7853","6171","6171","0","1682","0","ZCTA5 00622"
"8600000US00623","43061","42435","42435","0","626","0","ZCTA5 00623"
"8600000US00624","26241","22198","22198","0","4043","0","ZCTA5 00624"
"8600000US00627","35159","30415","30415","0","4744","0","ZCTA5 00627"
"8600000US00631","1852","0","0","0","1852","0","ZCTA5 00631"
"8600000US00637","25287","23163","23163","0","2124","0","ZCTA5 00637"
"8600000US00638","18941","11839","11839","0","7102","0","ZCTA5 00638"
"8600000US00641","31191","17647","17647","0","13544","0","ZCTA5 00641"
"8600000US00646","38199","38199","38199","0","0","0","ZCTA5 00646"
"8600000US00647","6172","4824","4824","0","1348","0","ZCTA5 00647"
"8600000US00650","14998","10556","10556","0","4442","0","ZCTA5 00650"
"8600000US00652","4715","3499","3499","0","1216","0","ZCTA5 00652"
"8600000US00653","13307","12414","12414","0","893","0","ZCTA5 00653"
"8600000US00656","21481","18931","18931","0","2550","0","ZCTA5 00656"
"8600000US00659","41953","37407","37407","0","4546","0","ZCTA5 00659"
"8600000US00660","17250","17216","17216","0","34","0","ZCTA5 00660"
"8600000US00662","43282","41045","41045","0","2237","0","ZCTA5 00662"
"8600000US00664","16784","11300","0","11300","5484","0","ZCTA5 00664"
"8600000US00667","25968","21332","21332","0","4636","0","ZCTA5 00667"
"8600000US00669","29744","23005","23005","0","6739","0","ZCTA5 00669"
